RFID,SERIAL,SIZE,CartType,BORN_DATE
130225100858000213605995,0213605995,96,Recycle,2/25/2013 10:09
130225100818000213605994,0213605994,96,Recycle,2/25/2013 10:08
130225100748000213605993,0213605993,96,Recycle,2/25/2013 10:08
130225100644000213605992,0213605992,96,Recycle,2/25/2013 10:07
130225100610000213605991,0213605991,96,Recycle,2/25/2013 10:06
130225100543000213605990,0213605990,96,Recycle,2/25/2013 10:06
130225095611000213605989,0213605989,96,Recycle,2/25/2013 9:56
130225095539000213605988,0213605988,96,Recycle,2/25/2013 9:56
130225095507000213605987,0213605987,96,Recycle,2/25/2013 9:55
130225095434000213605986,0213605986,96,Recycle,2/25/2013 9:55
130225095402000213605985,0213605985,96,Recycle,2/25/2013 9:54
130225095332000213605984,0213605984,96,Recycle,2/25/2013 9:54
130225095224000213605983,0213605983,96,Recycle,2/25/2013 9:53
130225095148000213605982,0213605982,96,Recycle,2/25/2013 9:52
130225095128000213605981,0213605981,96,Recycle,2/25/2013 9:51
130225094222000213605980,0213605980,96,Recycle,2/25/2013 9:42
130225094148000213605979,0213605979,96,Recycle,2/25/2013 9:42
130225094113000213605978,0213605978,96,Recycle,2/25/2013 9:41
130225094041000213605977,0213605977,96,Recycle,2/25/2013 9:41
130225094000000213605976,0213605976,96,Recycle,2/25/2013 9:40
130225093908000213605975,0213605975,96,Recycle,2/25/2013 9:39
130225093801000213605973,0213605973,96,Recycle,2/25/2013 9:38
130225093729000213605972,0213605972,96,Recycle,2/25/2013 9:37
130225093701000213605971,0213605971,96,Recycle,2/25/2013 9:37
130225083733000213605970,0213605970,96,Recycle,2/25/2013 8:37
130225083500000213605969,0213605969,96,Recycle,2/25/2013 8:35
130225083234000213605968,0213605968,96,Recycle,2/25/2013 8:33
130225083133000213605967,0213605967,96,Recycle,2/25/2013 8:32
130225083101000213605966,0213605966,96,Recycle,2/25/2013 8:31
130225083028000213605965,0213605965,96,Recycle,2/25/2013 8:31
130225082936000213605964,0213605964,96,Recycle,2/25/2013 8:30
130225082843000213605963,0213605963,96,Recycle,2/25/2013 8:29
130225082818000213605962,0213605962,96,Recycle,2/25/2013 8:28
130225082007000213605961,0213605961,96,Recycle,2/25/2013 8:20
130225081829000213605960,0213605960,96,Recycle,2/25/2013 8:18
130225081638000213605959,0213605959,96,Recycle,2/25/2013 8:17
130225081500000213605958,0213605958,96,Recycle,2/25/2013 8:15
130225081417000213605957,0213605957,96,Recycle,2/25/2013 8:14
130225081345000213605956,0213605956,96,Recycle,2/25/2013 8:14
130225081254000213605955,0213605955,96,Recycle,2/25/2013 8:13
130225081217000213605954,0213605954,96,Recycle,2/25/2013 8:12
130225081147000213605953,0213605953,96,Recycle,2/25/2013 8:12
130225080454000213605891,0213605891,96,Recycle,2/25/2013 8:05
130225080421000213605952,0213605952,96,Recycle,2/25/2013 8:04
130225080341000213605951,0213605951,96,Recycle,2/25/2013 8:04
130225080311000213605950,0213605950,96,Recycle,2/25/2013 8:03
130225080238000213605949,0213605949,96,Recycle,2/25/2013 8:03
130225080210000213605946,0213605946,96,Recycle,2/25/2013 8:02
130225080125000213605945,0213605945,96,Recycle,2/25/2013 8:02
130225080054000213605948,0213605948,96,Recycle,2/25/2013 8:01
130225080034000213605947,0213605947,96,Recycle,2/25/2013 8:00
130225075159000213605836,0213605836,96,Recycle,2/25/2013 7:52
130225075021000213605944,0213605944,96,Recycle,2/25/2013 7:50
130225074856000213605943,0213605943,96,Recycle,2/25/2013 7:49
130225074825000213605942,0213605942,96,Recycle,2/25/2013 7:48
130225074752000213605941,0213605941,96,Recycle,2/25/2013 7:48
130225074715000213605940,0213605940,96,Recycle,2/25/2013 7:47
130225074620000213605939,0213605939,96,Recycle,2/25/2013 7:47
130225074547000213605938,0213605938,96,Recycle,2/25/2013 7:46
130225074419000213605937,0213605937,96,Recycle,2/25/2013 7:44
130225073651000213605936,0213605936,96,Recycle,2/25/2013 7:37
130225073615000213605935,0213605935,96,Recycle,2/25/2013 7:36
130225073535000213605934,0213605934,96,Recycle,2/25/2013 7:36
130225073500000213605933,0213605933,96,Recycle,2/25/2013 7:35
130225073418000213605932,0213605932,96,Recycle,2/25/2013 7:34
130225073347000213605931,0213605931,96,Recycle,2/25/2013 7:34
130225073240000213605930,0213605930,96,Recycle,2/25/2013 7:33
130225073208000213605929,0213605929,96,Recycle,2/25/2013 7:32
130225073137000213605928,0213605928,96,Recycle,2/25/2013 7:31
130225072323000213605927,0213605927,96,Recycle,2/25/2013 7:23
130225072252000213605926,0213605926,96,Recycle,2/25/2013 7:23
130225072217000213605925,0213605925,96,Recycle,2/25/2013 7:22
130225072138000213605924,0213605924,96,Recycle,2/25/2013 7:22
130225072107000213605923,0213605923,96,Recycle,2/25/2013 7:21
130225072037000213605922,0213605922,96,Recycle,2/25/2013 7:21
130225071918000213605921,0213605921,96,Recycle,2/25/2013 7:20
130225071822000213605920,0213605920,96,Recycle,2/25/2013 7:18
130225071745000213605918,0213605918,96,Recycle,2/25/2013 7:18
130225070929000213605917,0213605917,96,Recycle,2/25/2013 7:09
130225070853000213605919,0213605919,96,Recycle,2/25/2013 7:09
130225070820000213605916,0213605916,96,Recycle,2/25/2013 7:08
130225070728000213605915,0213605915,96,Recycle,2/25/2013 7:07
130225070656000213605912,0213605912,96,Recycle,2/25/2013 7:07
130225070617000213605911,0213605911,96,Recycle,2/25/2013 7:06
130225070527000213605914,0213605914,96,Recycle,2/25/2013 7:06
130225070449000213605913,0213605913,96,Recycle,2/25/2013 7:05
130225070422000213605910,0213605910,96,Recycle,2/25/2013 7:04
130225065333000213605909,0213605909,96,Recycle,2/25/2013 6:53
130225065241000213605908,0213605908,96,Recycle,2/25/2013 6:53
130225065210000213605907,0213605907,96,Recycle,2/25/2013 6:52
130225065140000213605906,0213605906,96,Recycle,2/25/2013 6:52
130225065109000213605905,0213605905,96,Recycle,2/25/2013 6:51
